브랜드,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
B002-00001,0.3827136754989624,0.39318621158599854,0.379145085811615,0.37930309772491455,0.3895646929740906,0.3852207660675049,0.38465672731399536,0.3804042339324951,0.3952452540397644,0.39415448904037476,0.3990969657897949,0.38948315382003784,0.4043424129486084,0.3996533751487732,0.4007176160812378,0.4043044447898865,0.3887534737586975,0.394839882850647,0.4023517370223999,0.40466850996017456,0.40849220752716064
B002-00002,10.641250610351562,10.743766784667969,10.59298324584961,10.598465919494629,10.722509384155273,10.490333557128906,10.644144058227539,10.651552200317383,10.535150527954102,10.663549423217773,10.697199821472168,10.590600967407227,10.689258575439453,10.612083435058594,10.652835845947266,10.622575759887695,10.472887992858887,10.592766761779785,10.536138534545898,10.697616577148438,10.659340858459473
B002-00003,0.9578953981399536,0.38831645250320435,0.7544240951538086,0.8668691515922546,1.0134133100509644,1.1820181608200073,0.7258642315864563,0.6010251045227051,0.7992510795593262,1.1534425020217896,0.6599321365356445,0.9823307394981384,0.9902929663658142,1.192838191986084,1.112139344215393,0.7944080829620361,0.651116132736206,1.0860071182250977,1.0348496437072754,1.1789231300354004,0.7978826761245728
B002-00005,2.171496868133545,2.1543936729431152,2.1118040084838867,2.142831563949585,2.156409978866577,2.101519823074341,2.139446258544922,2.1381466388702393,2.1004459857940674,2.1490530967712402,2.1280710697174072,2.1204581260681152,2.1296916007995605,2.1033082008361816,2.1315391063690186,2.099224805831909,2.079704761505127,2.1134607791900635,2.068221092224121,2.1051440238952637,2.10101318359375
B002-00006,0.13136203587055206,0.13615868985652924,0.13301530480384827,0.1360367387533188,0.13467970490455627,0.1355593055486679,0.14163978397846222,0.14642325043678284,0.145528644323349,0.13674719631671906,0.14547312259674072,0.14340105652809143,0.13731801509857178,0.14950239658355713,0.14372771978378296,0.15978312492370605,0.1483851820230484,0.14568296074867249,0.14223873615264893,0.1501673310995102,0.14260655641555786
B002-00007,1.8958404064178467,1.8806931972503662,1.8115260601043701,2.011446475982666,1.947594165802002,1.9391708374023438,1.9350836277008057,1.9727661609649658,1.978887677192688,1.9830323457717896,1.9025545120239258,2.0455687046051025,1.930994987487793,2.090731143951416,2.030888319015503,2.1336145401000977,2.0099048614501953,2.062305450439453,2.0305309295654297,2.1174569129943848,1.9120413064956665
B002-00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B002-00009,0.6475824117660522,0.626205325126648,0.6169120073318481,0.6257100105285645,0.6279468536376953,0.6219621896743774,0.62001633644104,0.6140035390853882,0.5997216701507568,0.6164004802703857,0.607670783996582,0.6135584115982056,0.6208200454711914,0.6052038669586182,0.61800217628479,0.5938625335693359,0.585885763168335,0.6039152145385742,0.5975967645645142,0.6055102348327637,0.6044025421142578
B002-00010,1.2331225872039795,1.097811222076416,1.023348331451416,1.400085210800171,1.2957175970077515,1.256842851638794,1.1549313068389893,1.167423963546753,1.1944364309310913,1.369200587272644,1.0250133275985718,1.3732315301895142,1.1962803602218628,1.3304131031036377,1.3358802795410156,1.262071967124939,1.1842838525772095,1.3869216442108154,1.3568973541259766,1.4090410470962524,1.1072144508361816
B002-00011,7.085427284240723,7.059247970581055,7.018598556518555,7.104339599609375,7.110755920410156,7.019461154937744,7.041579723358154,7.033240795135498,7.027071952819824,7.0977630615234375,7.031956672668457,6.998150825500488,7.042905807495117,7.007010459899902,7.046235084533691,7.039483070373535,7.016240119934082,7.094583511352539,7.004373550415039,6.976528167724609,7.012569427490234
