id,fake,real
TEST_00000,0.00023893686011433601,0.9997709393501282
TEST_00001,2.9591541661488918e-08,1.0
TEST_00002,1.1366081480446155e-06,0.999998927116394
TEST_00003,0.0010191440815106034,0.9990754127502441
TEST_00004,1.3088574007166093e-13,1.0
TEST_00005,2.3115664655841417e-14,1.0
TEST_00006,5.41234363993226e-08,1.0
TEST_00007,2.290245587510567e-15,1.0
TEST_00008,3.7098253358180955e-09,1.0
TEST_00009,0.9846925735473633,0.015668215230107307
TEST_00010,0.5062066912651062,0.4897630214691162
TEST_00011,0.0006338055245578289,0.9993869066238403
TEST_00012,4.451660706727978e-10,1.0
TEST_00013,2.2702308342416582e-15,1.0
TEST_00014,0.39558956027030945,0.5973324179649353
TEST_00015,1.954773582585334e-12,1.0
TEST_00016,1.7978056194488607e-15,1.0
TEST_00017,4.5354983740253374e-05,0.9999526739120483
TEST_00018,3.045821244957586e-13,1.0
TEST_00019,1.2122491455102136e-07,0.9999998807907104
TEST_00020,4.853747612165726e-13,1.0
TEST_00021,4.5576785401291176e-11,1.0
TEST_00022,6.021768513164716e-06,0.9999940395355225
TEST_00023,0.003525989130139351,0.9966813921928406
TEST_00024,2.6054229884664437e-09,1.0
TEST_00025,0.004115349147468805,0.9958924055099487
TEST_00026,1.8970541283691578e-12,1.0
TEST_00027,3.269624848645236e-11,1.0
TEST_00028,5.077299078948272e-07,0.9999995231628418
TEST_00029,0.7453789114952087,0.24809059500694275
TEST_00030,2.0213381749650816e-12,1.0
TEST_00031,1.1772242794298726e-13,1.0
TEST_00032,4.491169391940275e-08,1.0
TEST_00033,4.565524173993918e-12,1.0
TEST_00034,6.0615574781763826e-09,1.0
TEST_00035,1.4804929504563802e-09,1.0
TEST_00036,0.7634028792381287,0.25340697169303894
TEST_00037,1.1478382480611948e-11,1.0
TEST_00038,1.2413404722536048e-12,1.0
TEST_00039,2.3919656086945906e-06,0.9999977350234985
TEST_00040,1.0037168145238251e-11,1.0
TEST_00041,3.463623832189455e-11,1.0
TEST_00042,8.437103793390577e-11,1.0
TEST_00043,1.0265946079335286e-11,1.0
TEST_00044,4.966925759575247e-10,1.0
TEST_00045,1.785107173191136e-09,1.0
TEST_00046,6.3535972039119315e-09,1.0
TEST_00047,1.6451422002439238e-20,1.0
TEST_00048,3.8345375780399156e-20,1.0
TEST_00049,3.7755366590275834e-19,1.0
TEST_00050,1.5423596427810438e-11,1.0
TEST_00051,2.1140685646514612e-07,0.9999997615814209
